NODE_ID,LATITUDE,LONGITUDE
196,47.4690671,19.017296
197,47.4700637,19.0158773
198,47.4680651,19.0121061
199,47.4665504,19.0128549
200,47.4684588,19.0151948
201,47.4686897,19.0154165
202,47.4689089,19.0155727
203,47.4690481,19.0156588
204,47.4693197,19.0158027
205,47.4695256,19.0158871
206,47.4697403,19.0159434
207,47.4704935,19.0159855
208,47.4706263,19.0160206
209,47.4711498,19.0159846
210,47.4718433,19.0158207
211,47.4721219,19.015753
212,47.4722933,19.0158453
213,47.4723518,19.0159388
214,47.4694105,19.0146205
215,47.4730068,19.0127433
216,47.4730531,19.0128362
217,47.4730938,19.0129008
218,47.4732094,19.0130309
219,47.4733013,19.0131142
220,47.473408,19.0131724
221,47.473635,19.0132497
222,47.4737398,19.0132642
223,47.4740771,19.0131964
224,47.4745426,19.0131331
225,47.4751278,19.0133617
226,47.4756944,19.0138134
227,47.4762511,19.0153782
228,47.476346,19.0158794
229,47.4765505,19.0169998
230,47.4765629,19.0171726
231,47.476177,19.0189721
232,47.4760985,19.0191206
233,47.4760447,19.0191792
234,47.4759923,19.019203
235,47.4759314,19.0192118
236,47.4717768,19.0164938
237,47.4723821,19.0160104
238,47.4757588,19.0140175
239,47.4731164,19.0155517
240,47.4725951,19.0158715
241,47.4758703,19.0139347
242,47.4810325,19.0049261
243,47.4798003,19.0092803
244,47.4795788,19.0098495
245,47.4794421,19.010184
246,47.4792378,19.0105272
247,47.4789373,19.0109399
248,47.4787202,19.0112116
249,47.4766906,19.013258
250,47.4764064,19.0135069
251,47.4773052,19.0137797
252,47.4771925,19.0134581
253,47.4771201,19.0133201
254,47.4770231,19.0131536
255,47.4756809,19.0115198
256,47.4755306,19.0113238
257,47.4753365,19.0110295
258,47.4751679,19.0106855
259,47.4808423,19.0048104
260,47.4806505,19.0055047
261,47.4805488,19.0057698
262,47.480185,19.0064821
263,47.4800222,19.006674
264,47.4790504,19.0076471
265,47.4787455,19.0077592
266,47.478629,19.0077492
267,47.4784324,19.0076636
268,47.4783406,19.0075867
269,47.4782641,19.0074875
270,47.4782053,19.0073838
271,47.4781485,19.0072681
272,47.4780815,19.0070247
273,47.4780782,19.0067237
274,47.4784691,19.005286
275,47.4785035,19.0049501
276,47.4784531,19.0046388
277,47.478404,19.0044665
278,47.478333,19.0043264
279,47.4782431,19.0042119
280,47.4780731,19.0041253
281,47.4779986,19.0041154
282,47.4777613,19.0041479
283,47.4776699,19.0041714
284,47.4774943,19.0044034
285,47.4774197,19.0045954
286,47.4769057,19.0060521
287,47.4768226,19.0062801
288,47.476589,19.0067966
289,47.4763068,19.0073489
290,47.4757554,19.0081164
291,47.4734594,19.0100264
292,47.4730462,19.010547
293,47.4729989,19.0106312
294,47.4728952,19.0108824
295,47.4728485,19.0112922
296,47.4728094,19.0115791
297,47.4727409,19.011803
298,47.4727608,19.0121088
299,47.4727877,19.0122077
300,47.4728558,19.012408
301,47.4778434,19.0067452
302,47.4779014,19.006715
303,47.4780105,19.0067055
304,47.4818388,18.9988411
305,47.4821824,18.9995348
306,47.4814399,19.0025474
307,47.4810681,19.0040117
308,47.484731,19.0056128
309,47.4851439,19.0058865
310,47.4749298,19.0166623
311,47.4757352,19.0157968
312,47.4759933,19.0154328
313,47.4766908,19.0144233
314,47.4768234,19.0142601
315,47.4774589,19.0136418
316,47.4783729,19.0130813
317,47.4786076,19.0129234
318,47.4787484,19.0127801
319,47.4792507,19.0122214
320,47.4806276,19.0111761
321,47.4757841,19.0097315
322,47.4758613,19.0098659
323,47.4759662,19.0100189
324,47.4760427,19.0101216
325,47.4761409,19.0102158
326,47.4762815,19.0103426
327,47.4765204,19.0105216
328,47.4776571,19.0112474
329,47.477809,19.0113692
330,47.4783422,19.0119389
331,47.4784173,19.0120491
332,47.4786646,19.0128722
333,47.476146,19.0083561
334,47.4762331,19.0085467
335,47.476327,19.0087234
336,47.4765744,19.009068
337,47.4766898,19.0091971
338,47.4768074,19.0093072
339,47.476918,19.0093985
340,47.4771904,19.009546
341,47.4775066,19.0096588
342,47.4777524,19.0097486
343,47.4783939,19.0099668
344,47.4790462,19.0101875
345,47.4794285,19.0103017
346,47.4805552,19.0109723
347,47.4798652,19.0090525
348,47.476061,19.0081614
349,47.4810498,19.0043531
350,47.4816019,19.0048052
351,47.4744922,18.9906949
352,47.4746792,18.9909808
353,47.4750761,18.991644
354,47.4751722,18.9918219
355,47.474249,18.9902983
356,47.4750086,18.9899643
357,47.4748176,18.9896396
358,47.4747518,18.9895304
359,47.4768635,18.9907949
360,47.476804,18.990895
361,47.4766873,18.991274
362,47.4766113,18.991554
363,47.476563,18.9916745
364,47.4765137,18.9917641
365,47.4764734,18.9918224
366,47.4757262,18.9938527
367,47.4755209,18.9943426
368,47.4754685,18.9945057
369,47.4750519,18.9976408
370,47.475014,18.9978264
371,47.4749817,18.9979985
372,47.4748371,18.9985311
373,47.4747291,18.9988242
